NAME,RANKED_IN,IS_RANKED,V_DISPLAY_SCORE,C_RNK_TOT_RETENTION,R_C_AVG_PCT_GRAD_6YR,PELL_GRADRATE,NONPELL_GRADRATE,DIFF_PELL_GRADRATE,R_C_AVG_PCT_RETENTION,PRED_GRAD_RATE,V_DIFF_GRAD_RATES,C_AVG_REPUTATION_SCORE_T,C_PCT_HS_COUNSELOR,FACULTY_RESOURCES_RANK,R_C_PCT_TOT_FAC_PT,V_FAC_TERMINAL,R_C_PCT_CLASSES_1_19,R_C_PCT_CLASSES_GT_50,V_STUDENT_FACULTY_RATIO,C_RNK_TOT_SELECT,R_C_SAT_ACT_PERCENT,R_C_HS_TOP_10_PCT_CLASS,R_C_HS_TOP_25_PCT_CLASS,C_RNK_LN_AVG_EDU_EXPENSES,C_RNK_ALUM_GIVING_RATE_2YR,R_C_ALUM_GIVING_RATE_2YR
michigan-flint-2327,Regional Universities Midwest,115,36,130,38,36,50,-14,72,52,-8,2.5,,6,79.9,77,53.7,2,13:01,130,950-1200,18,43,46,162,1
university-of-tennessee-3530,National Universities,115,48,124,70,62,74,-13,86,73,-3,3.2,3.7,123,96.2,87,30,14,17:01,112,24-30,,,97,105,10.5
drew-university-2603,National Liberal Arts Colleges,116,55,128,63,57,65,-8,85,70,-8,2.8,3.5,93,80.3,99,69.9,1,10:01,106,1100-1300,24,60,68,96,19.9
goucher-college-2073,National Liberal Arts Colleges,116,55,136,65,64,67,-2,79,69,-3,3.1,3.9,110,89.5,92,73.4,0,10:01,130,1050-1260,28,54,112,96,19.4
marlboro-college-3690,National Liberal Arts Colleges,116,55,140,59,54,47,7,72,59,-9,2.3,3.3,15,90.6,91,100,0,5:01,150,1150-1340,,,29,85,21.6
st-michaels-college-3694,National Liberal Arts Colleges,116,55,101,78,71,80,-10,87,72,6,2.8,3.5,134,87.7,81,61,0,13:01,148,1150-1310,25,48,121,111,18.7
bloomsburg-university-3315,Regional Universities North,117,49,89,62,51,61,-10,77,51,7,2.5,,150,92.6,84,27.3,5,19:01,109,970-1150,8,29,151,98,5.4
bridgewater-state-college-2183,Regional Universities North,117,49,89,59,53,63,-10,79,53,6,2.5,,108,72.1,95,42.2,0,19:01,99,980-1160,,,179,116,4.5
worcester-state-2190,Regional Universities North,117,49,112,54,51,57,-6,80,53,2,2.5,,87,73.4,80,53.4,0,17:01,91,980-1170,,,159,85,6.8
dakota-state-university-3463,Regional Universities Midwest,118,35,130,38,30,39,-9,71,54,-19,2.5,,21,85.5,76,52.5,1,17:01,63,19-26,7,25,97,70,7.3
greenville-university-1684,Regional Universities Midwest,118,35,104,48,34,45,-11,69,49,-10,2.2,,111,61.3,72,60.5,1,13:01,111,19-25,15,38,46,9,14.8
marian-university-3861,Regional Universities Midwest,118,35,104,48,39,56,-17,70,50,-2,2.4,,89,67.8,56,74.4,0,12:01,134,17-22,9,25,87,78,6.4
st-cloud-state-2377,Regional Universities Midwest,118,35,126,44,37,48,-11,70,48,-4,2.8,,102,85.8,88,43.2,4,21:01,115,18-24,7,27,118,155,2.6
depaul-university-1671,National Universities,119,47,95,72,67,73,-6,85,62,9,2.9,3.8,157,74.6,85,40.5,1,16:01,143,22-28,23,53,199,168,5.9
duquesne-university-3258,National Universities,119,47,74,76,77,80,-2,87,68,11,2.6,3.7,175,75.8,94,41.8,8,14:01,130,1120-1270,25,56,166,154,6.8
iowa-state-university-1869,National Universities,119,47,124,72,63,77,-13,87,67,6,3.3,3.7,202,93.7,93,28.7,25,19:01,139,22-28,25,57,158,87,11.4
seton-hall-university-new-jersey-2632,National Universities,119,47,136,65,60,71,-12,85,61,6,2.9,3.8,95,71.5,90,48.1,3,13:01,132,1140-1280,32,61,142,122,8.4
university-of-utah-3675,National Universities,119,47,155,65,56,71,-15,90,63,4,3.1,3.5,164,86.8,83,38.6,18,16:01,135,22-29,39,71,42,105,10.1
lehman-college-7022,Regional Universities North,120,48,147,41,44,50,-6,84,43,3,2.7,,101,65.5,72,45.9,1,17:01,142,970-1100,,,97,169,2.9
grove-city-college-3269,National Liberal Arts Colleges,120,54,25,83,,,,91,74,9,2.5,3.4,209,83.6,85,53.8,4,13:01,71,1071-1349,35,84,199,105,18.9
liu-cw-2754,Regional Universities North,120,48,164,46,38,52,-14,75,57,-9,2.3,,3,75.6,84,71.9,1,14:01,46,1055-1240,10,33,43,169,2.8
randolph-macon-college-3733,National Liberal Arts Colleges,120,54,150,61,59,70,-11,81,63,3,2.9,3.3,92,84.1,94,69.1,0,11:01,140,1050-1233,19,56,149,24,36
ripon-college-3884,National Liberal Arts Colleges,120,54,89,68,67,68,-1,80,65,3,2.7,3.3,147,91.5,98,65.2,3,14:01,148,20-26,16,43,112,55,25.1
utica-college-2883,Regional Universities North,120,48,155,45,44,53,-9,73,50,-1,2.4,,4,59.9,78,61.6,0,13:01,104,980-1180,10,33,149,79,7
westminster-college-pennsylvania-3392,National Liberal Arts Colleges,120,54,82,72,63,74,-11,80,60,10,2.7,3.5,155,83.3,90,66.3,1,11:01,158,940-1200,22,42,160,152,14.5
